# sample-input/manta.test.vcf.gz	sample-input/smoove.test.vcf.gz
vcf-file1	vcf-file2
manta-14	smoove-4
manta-16	smoove-6
manta-17	smoove-8
manta-28	smoove-47
manta-30	smoove-54
manta-35	smoove-69
manta-36	smoove-70
manta-37	smoove-80
manta-39	smoove-83
manta-44	smoove-95
manta-51	smoove-105
manta-54	smoove-112
manta-57	smoove-114
manta-71	smoove-136
manta-84	smoove-156
manta-85	smoove-161
manta-87	smoove-162
manta-90	smoove-166
manta-93	smoove-174
manta-96	smoove-185
manta-100	smoove-195
manta-111	smoove-203
manta-121	smoove-219
manta-122	smoove-220
manta-123	smoove-223
manta-125	smoove-239
manta-126	smoove-244
manta-127	smoove-249
manta-129	smoove-253
manta-131	smoove-266
manta-132	smoove-267
manta-134	smoove-268
manta-138	smoove-274
manta-142	smoove-288
manta-148	smoove-299
manta-151	smoove-303
manta-155	smoove-312
manta-161	smoove-332
manta-164	smoove-336
manta-171	smoove-339
manta-173	smoove-341
manta-176	smoove-345
manta-180	smoove-357
manta-181	smoove-358
manta-182	smoove-359
manta-191	smoove-376
manta-192	smoove-379
manta-193	smoove-383
manta-197	smoove-389
manta-202	smoove-396
manta-206	smoove-398
manta-208	smoove-400
manta-209	smoove-401
manta-210	smoove-406
manta-218	smoove-418
manta-233	smoove-456,smoove-458
manta-236	smoove-464
manta-237	smoove-472
manta-240	smoove-474
manta-250	smoove-487
manta-251	smoove-489
manta-254	smoove-504
manta-256	smoove-511
manta-258	smoove-516
manta-259	smoove-518
manta-261	smoove-525
manta-263	smoove-527
manta-264	smoove-528
manta-265	smoove-530
manta-268	smoove-537
manta-280	smoove-570
manta-282	smoove-576
manta-284	smoove-579
manta-286	smoove-594
manta-288	smoove-600
manta-295	smoove-626
manta-301	smoove-635
manta-302	smoove-642
manta-304	smoove-652
manta-307	smoove-660
manta-310	smoove-663
manta-319	smoove-684
manta-322	smoove-694
manta-327	smoove-714
manta-332	smoove-728
manta-335	smoove-730
manta-336	smoove-745
manta-345	smoove-766
manta-352	smoove-781
manta-362	smoove-790
manta-363	smoove-791
manta-365	smoove-794
manta-367	smoove-796
manta-373	smoove-813
manta-385	smoove-844
manta-387	smoove-857
manta-388	smoove-860
manta-390	smoove-862
manta-391	smoove-863
manta-396	smoove-870
manta-397	smoove-871
manta-401	smoove-875
manta-405	smoove-891
manta-406	smoove-894
manta-407	smoove-895
manta-408	smoove-902
manta-409	smoove-903
manta-410	smoove-907
manta-417	smoove-943
manta-419	smoove-948
manta-420	smoove-949
manta-422	smoove-953
manta-423	smoove-959
manta-427	smoove-963
manta-428	smoove-966
manta-430	smoove-973
manta-433	smoove-978
manta-434	smoove-983
manta-438	smoove-994
manta-439	smoove-998
manta-443	smoove-1000
manta-446	smoove-1010
manta-447	smoove-1011
manta-449	smoove-1022
manta-450	smoove-1026
manta-454	smoove-1032
manta-455	smoove-1034
manta-459	smoove-1046
manta-460	smoove-1048
manta-462	smoove-1055
manta-463	smoove-1057
manta-464	smoove-1060
manta-465	smoove-1064
manta-466	smoove-1066
manta-467	smoove-1067
manta-470	smoove-1071
manta-471	smoove-1075
manta-472	smoove-1080
manta-477	smoove-1083
manta-480	smoove-1092
manta-486	smoove-1098
manta-488	smoove-1102
manta-493	smoove-1118
manta-495	smoove-1124
manta-496	smoove-1126
manta-501	smoove-1138
manta-504	smoove-1143
manta-505	smoove-1145
manta-508	smoove-1147
manta-512	smoove-1157
manta-515	smoove-1159
manta-517	smoove-1163
manta-520	smoove-1171
manta-521	smoove-1177
manta-522	smoove-1179
manta-526	smoove-1196
manta-527	smoove-1197
manta-529	smoove-1204
manta-535	smoove-1222
manta-538	smoove-1223
manta-539	smoove-1228
manta-540	smoove-1231
manta-546	smoove-1239
manta-547	smoove-1240
manta-548	smoove-1241
manta-549	smoove-1244
manta-552	smoove-1248
manta-557	smoove-1253
manta-558	smoove-1256
manta-559	smoove-1258
manta-561	smoove-1264
